user_type,code,type,name,parent_id,note,reconcile,active
Regular,12401001,regular,"compañías de financiamiento comercial",124010,,FALSE,TRUE
Regular,12401501,regular,"corporaciones financieras",124015,,FALSE,TRUE
Regular,12409501,regular,otras,124095,,FALSE,TRUE
Regular,12450501,regular,"fideicomisos de inversión moneda nacional",124505,,FALSE,TRUE
Regular,12451001,regular,"fideicomisos de inversión moneda extranjera",124510,,FALSE,TRUE
Regular,12500501,regular,acciones,125005,,FALSE,TRUE
Regular,12501001,regular,"cuotas o partes de interés social",125010,,FALSE,TRUE
Regular,12501501,regular,bonos,125015,,FALSE,TRUE
Regular,12502001,regular,cédulas,125020,,FALSE,TRUE
Regular,12502501,regular,certificados,125025,,FALSE,TRUE
Regular,12503001,regular,"papeles comerciales",125030,,FALSE,TRUE
Regular,12503501,regular,títulos,125035,,FALSE,TRUE
Regular,12504001,regular,"aceptaciones bancarias o financieras",125040,,FALSE,TRUE
Regular,12509501,regular,otros,125095,,FALSE,TRUE
Regular,12509901,regular,"ajustes por inflación",125099,,FALSE,TRUE
Regular,12550501,regular,"bonos de financiamiento especial",125505,,FALSE,TRUE
Regular,12551001,regular,"bonos de financiamiento presupuestal",125510,,FALSE,TRUE
Regular,12551501,regular,"bonos para desarrollo social y seguridad interna (bdsi)",125515,,FALSE,TRUE
Regular,12559501,regular,otras,125595,,FALSE,TRUE
Regular,12609901,regular,"ajustes por inflación",126099,,FALSE,TRUE
Regular,12950501,regular,"aportes en cooperativas",129505,,FALSE,TRUE
Regular,12951001,regular,"derechos en clubes sociales",129510,,FALSE,TRUE
Regular,12951501,regular,"acciones o derechos en clubes deportivos",129515,,FALSE,TRUE
Regular,12952001,regular,"bonos en colegios",129520,,FALSE,TRUE
Regular,12959501,regular,diversas,129595,,FALSE,TRUE
Regular,12959901,regular,"ajustes por inflación",129599,,FALSE,TRUE
Regular,12990501,regular,acciones,129905,,FALSE,TRUE
Regular,12991001,regular,"cuotas o partes de interés social",129910,,FALSE,TRUE
Regular,12991501,regular,bonos,129915,,FALSE,TRUE
Regular,12992001,regular,cédulas,129920,,FALSE,TRUE
Regular,12992501,regular,certificados,129925,,FALSE,TRUE
Regular,12993001,regular,"papeles comerciales",129930,,FALSE,TRUE
Regular,12993501,regular,títulos,129935,,FALSE,TRUE
Regular,12994001,regular,"aceptaciones bancarias o financieras",129940,,FALSE,TRUE
Regular,12994501,regular,"derechos fiduciarios",129945,,FALSE,TRUE
Regular,12995001,regular,"derechos de recompra de inversiones negociadas",129950,,FALSE,TRUE
Regular,12995501,regular,obligatorias,129955,,FALSE,TRUE
Regular,12996001,regular,"cuentas en participación",129960,,FALSE,TRUE
Regular,12999501,regular,"otras inversiones",129995,,FALSE,TRUE
Receivable,13050501,receivable,nacionales,130505,,TRUE,TRUE
Receivable,13051001,receivable,"del exterior",130510,,TRUE,TRUE
Receivable,13051501,receivable,"deudores del sistema",130515,,TRUE,TRUE
Regular,13100501,regular,"casa matriz",131005,,FALSE,TRUE
